U,theta_preconfig
0,0.0461691481834024
1,0.0478067622417184
2,0.0493668152014254
3,0.0508255988107572
4,0.0521604535413784
5,0.0533501363120154
6,0.0543753034394375
7,0.0552191183950651
8,0.0558679713771277
9,0.0563119859129982
10,0.0565442087996069
11,0.0565513285110341
12,0.0564687846685698
13,0.0562985921391439
14,0.0560443892933179
15,0.0557112284246022
16,0.0553052677548773
17,0.0548336299222463
18,0.05430460296244
19,0.0537267207798016
20,0.0531081799645373
21,0.0524564853243991
22,0.0517782175420244
23,0.0510789221675313
24,0.0503631005205887
25,0.0496342259135609
26,0.0488947952265829
27,0.048146537931373
28,0.0473905673285101
29,0.0466275116288277
30,0.0458576124781028
31,0.0450803069932909
32,0.0442942898860154
33,0.043498238108573
34,0.0426908818663031
35,0.0418710217497378
36,0.0410375371109249
37,0.0401893886561144
38,0.0393256259283007
39,0.0384458896967729
40,0.0375506207833028
41,0.0366402565640144
42,0.0357151664708751
43,0.0347756615324653
44,0.0338220031851788
45,0.0328544113232098
46,0.0318730715772101
47,0.0308781418254814
48,0.0298697579496522
49,0.0288480388505186
50,0.0278130907404988
51,0.0267650107281723
52,0.0257038897086418
53,0.0246298145717226
54,0.0235326232037572
55,0.0224124909522685
56,0.0212771649486672
57,0.0201261154019134
58,0.0189588572034719
59,0.0177749405088284
60,0.0165739423792841
61,0.015355459336198
62,0.0141191007024721
63,0.0128644826222697
64,0.0115912226621004
65,0.0102989349060497
66,0.00898722546607954
67,0.00765568833553416
68,0.00630390152058277
69,0.00493142339043853
70,0.00353778919285813
71,0.0021225076866378
72,0.000685057847557194
73,-0.000775114391539322
74,-0.00225859940210067
75,-0.00376602715500066
76,-0.00529807057900025
77,-0.00685544900974384
78,-0.00843893175449789
79,-0.010049341796139
80,-0.0116875596584049
81,-0.0133545274530445
82,-0.0150512531281193
83,-0.0167788149352191
84,-0.0185383661315784
85,-0.0203311399308669
86,-0.0221584547135601
87,-0.0240217195040005
88,-0.0259224397162526
89,-0.0278622231642248
90,-0.0298427863227941
91,-0.0318659608152574
92,-0.0339337000875946
93,-0.0360480862108695
94,-0.0382113367285215
95,-0.040425811433986
96,-0.0426940189244167
97,-0.0450186227263943
98,-0.0474024467271861
99,-0.04984847956788
100,-0.0523598775598299
